Id;Question;Answer
67;Otogar'dan Adü'ye giden birinci sefer saat kaçta?;Otogar'dan Adü'ye giden birinci seferimiz saat 06.15'te kalkmaktadýr.
68;Otogar'dan Adü'ye giden ikinci sefer saat kaçta?;Otogar'dan Adü'ye giden ikinci seferimiz saat 09.00'da kalkmaktadýr.
69;Otogar'dan Adü'ye giden üçüncü sefer saat kaçta?;Otogar'dan Adü'ye giden üçüncü seferimiz saat 09.45'te kalkmaktadýr.
70;Otogar'dan Adü'ye giden dördüncü sefer saat kaçta?;Otogar'dan Adü'ye giden dördüncü seferimiz saat 12.05'te kalkmaktadýr.
71;Otogar'dan Adü'ye giden beþinci sefer saat kaçta?;Otogar'dan Adü'ye giden beþinci seferimiz saat 14.20'de kalkmaktadýr.
72;Otogar'dan Adü'ye giden altýncý sefer saat kaçta?;Otogar'dan Adü'ye giden altýncý seferimiz saat 16.50'de kalkmaktadýr.
73;Otogar'dan Adü'ye giden yedinci sefer saat kaçta?;Otogar'dan Adü'ye giden yedinci seferimiz saat 18.30'da kalkmaktadýr.
74;Karpuzlu'dan Kuþadasý'na giden birinci sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden birinci seferimiz saat 06.00'da kalkmaktadýr.
75;Karpuzlu'dan Kuþadasý'na giden ikinci sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden ikinci seferimiz saat 08.45'te kalkmaktadýr.
76;Karpuzlu'dan Kuþadasý'na giden üçüncü sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden üçüncü seferimiz saat 09.30'da kalkmaktadýr.
77;Karpuzlu'dan Kuþadasý'na giden dördüncü sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden dördüncü seferimiz saat 11.50'de kalkmaktadýr.
78;Karpuzlu'dan Kuþadasý'na giden beþinci sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden beþinci seferimiz saat 14.05'te kalkmaktadýr.
79;Karpuzlu'dan Kuþadasý'na giden altýncý sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden altýncý seferimiz saat 16.35'te kalkmaktadýr.
80;Karpuzlu'dan Kuþadasý'na giden yedinci sefer saat kaçta?;Karpuzlu'dan Kuþadasý'na giden yedinci seferimiz saat 18.15'te kalkmaktadýr.
81;Kuþadasý'ndan Karpuzlu'ya giden birinci sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden birinci seferimiz saat 07.00'de kalkmaktadýr.
82;Kuþadasý'ndan Karpuzlu'ya giden ikinci sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden ikinci seferimiz saat 09.45'te kalkmaktadýr.
83;Kuþadasý'ndan Karpuzlu'ya giden üçüncü sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden üçüncü seferimiz saat 10.30'da kalkmaktadýr.
84;Kuþadasý'ndan Karpuzlu'ya giden dördüncü sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden dördüncü seferimiz saat 12.50'de kalkmaktadýr.
85;Kuþadasý'ndan Karpuzlu'ya giden beþinci sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden beþinci seferimiz saat 15.05'te kalkmaktadýr.
86;Kuþadasý'ndan Karpuzlu'ya giden altýncý sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden altýncý seferimiz saat 17.35'te kalkmaktadýr.
87;Kuþadasý'ndan Karpuzlu'ya giden yedinci sefer saat kaçta?;Kuþadasý'ndan Karpuzlu'ya giden yedinci seferimiz saat 19.15'te kalkmaktadýr.
88;Köþk'ten Çine'ye giden birinci sefer saat kaçta?;Köþk'ten Çine'ye giden birinci seferimiz saat 07.30'da kalkmaktadýr.
89;Köþk'ten Çine'ye giden ikinci sefer saat kaçta?;Köþk'ten Çine'ye giden ikinci seferimiz saat 10.15'te kalkmaktadýr.
90;Köþk'ten Çine'ye giden üçüncü sefer saat kaçta?;Köþk'ten Çine'ye giden üçüncü sefer saat 11.00'de kalkmaktadýr.
91;Köþk'ten Çine'ye giden dördüncü sefer saat kaçta?;Köþk'ten Çine'ye giden dördüncü seferimiz saat 13.20'de kalkmaktadýr.
92;Köþk'ten Çine'ye giden beþinci sefer saat kaçta?;Köþk'ten Çine'ye giden beþinci seferimiz saat 15.35'te kalkmaktadýr.
93;Köþk'ten Çine'ye giden altýncý sefer saat kaçta?;Köþk'ten Çine'ye giden altýncý seferimiz saat 8.05'te kalkmaktadýr.
94;Köþk'ten Çine'ye giden yedinci sefer saat kaçta?;Köþk'ten Çine'ye giden yedinci seferimiz saat 19.45'te kalkmaktadýr.
95;Çine'den Köþk'e giden birinci sefer saat kaçta?;Çine'den Köþk'e giden birinci seferimiz saat 08.30'da kalkmaktadýr.
96;Çine'den Köþk'e giden ikinci sefer saat kaçta?;Çine'den Köþk'e giden ikinci seferimiz saat 11.15'te kalkmaktadýr.
97;Çine'den Köþk'e giden üçüncü sefer saat kaçta?;Çine'den Köþk'e giden üçüncü seferimiz saat 12.00'de kalkmaktadýr.
98;Çine'den Köþk'e giden dördüncü sefer saat kaçta?;Çine'den Köþk'e giden dördüncü seferimiz saat 14.20'de kalkmaktadýr.
99;Çine'den Köþk'e giden beþinci sefer saat kaçta?;Çine'den Köþk'e giden beþinci seferimiz saat 16.35'te kalkmaktadýr.
100;Çine'den Köþk'e giden altýncý sefer saat kaçta?;Çine'den Köþk'e giden altýncý seferimiz saat 19.05'te kalkmaktadýr.
101;Çine'den Köþk'e giden yedinci sefer saat kaçta?;Çine'den Köþk'e giden yedinci seferimiz saat 20.45'te kalkmaktadýr.
102;Yeni Pazar'dan Karacasu'ya giden birinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden birinci seferimiz saat 07.20'de kalkmaktadýr.
103;Yeni Pazar'dan Karacasu'ya giden ikinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden ikinci seferimiz saat 08.20'de kalkmaktadýr.
104;Yeni Pazar'dan Karacasu'ya giden üçüncü sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden üçüncü seferimiz saat 09.20'de kalkmaktadýr.
105;Yeni Pazar'dan Karacasu'ya giden dördüncü sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden dördüncü seferimiz saat 12.20'de kalkmaktadýr.
106;Yeni Pazar'dan Karacasu'ya giden beþinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden beþinci seferimiz saat 14.20'de kalkmaktadýr.
107;Yeni Pazar'dan Karacasu'ya giden altýncý sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden altýncý seferimiz saat 16.20'de kalkmaktadýr.
108;Yeni Pazar'dan Karacasu'ya giden yedinci sefer saat kaçta?;Yeni Pazar'dan Karacasu'ya giden yedinci seferimiz saat 18.20'de kalkmaktadýr.
109;Karacasu'dan Yeni Pazar'a giden birinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden birinci seferimiz saat 07.20'de kalkmaktadýr.
110;Karacasu'dan Yeni Pazar'a giden ikinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden ikinci seferimiz saat 08.20'de kalkmaktadýr.
111;Karacasu'dan Yeni Pazar'a giden üçüncü sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden üçüncü seferimiz saat 09.20'de kalkmaktadýr.
112;Karacasu'dan Yeni Pazar'a giden dördüncü sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden dördüncü seferimiz saat 12.20'de kalkmaktadýr.
113;Karacasu'dan Yeni Pazar'a giden beþinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden beþinci seferimiz saat 14.20'de kalkmaktadýr.
114;Karacasu'dan Yeni Pazar'a giden altýncý sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden altýncý seferimiz saat 16.20'de kalkmaktadýr.
115;Karacasu'dan Yeni Pazar'a giden yedinci sefer saat kaçta?;Karacasu'dan Yeni Pazar'a giden yedinci seferimiz saat 18.20'de kalkmaktadýr.
116;Karpuzlu'dan Koçarlý'ya öðrenci ne kadar?;Karpuzlu’dan Koçarlý’ya öðrenci ücreti 2,80 TL’dir.
117;Karpuzlu'dan Ýncirliova'ya öðrenci ne kadar?;Karpuzlu'dan Ýncirliova'ya öðrenci ücreti 3.10 TL'dir.
118;Karpuzlu'dan Söke'ye öðrenci ne kadar?;Karpuzlu'dan Söke'ye öðrenci ücreti 3.40 TL'dir.
119;Karpuzlu'dan Kuþadasý'na öðrenci ne kadar?;Karpuzlu'dan Kuþadasý'na öðrenci ücreti 4.40 TL'dir.
120;Karpuzlu'dan Koçarlý'ya tam ne kadar?;Karpuzlu'dan Koçarlý'ya tam yolcu ücreti 3.20 TL'dir.
121;Karpuzlu'dan Ýncirliova'ya tam ne kadar?;Karpuzlu'dan Ýncirliova'ya tam yolcu ücreti 3.50 TL'dir.
122;Karpuzlu'dan Söke'ye tam ne kadar?;Karpuzlu'dan Söke'ye tam yolcu ücreti 3.80 TL'dir.
123;Karpuzlu'dan Kuþadasý'na tam ne kadar?;Karpuzlu'dan Kuþadasý'na tam yolcu ücreti 4.80 TL'dir.
124;Koçarlý'dan Ýncirliova'ya öðrenci ne kadar?;Koçarlý'dan Ýncirliova'ya öðrenci ücreti 2.60 TL'dir.
125;Koçarlý'dan Söke'ye öðrenci ne kadar?;Koçarlý'dan Söke'ye öðrenci ücreti 2.90 TL'dir.
126;Koçarlý'dan Kuþadasý'na öðrenci ne kadar?;Koçarlý'dan Kuþadasý'na öðrenci ücreti 4.00 TL'dir.
127;Koçarlý'dan Ýncirliova'ya tam ne kadar?;Koçarlý'dan Ýncirliova'ya tam yolcu ücreti 3.00 TL'dir.
128;Koçarlý'dan Söke'ye tam ne kadar?;Koçarlý'dan Söke'ye tam yolcu ücreti 3.30 TL'dir.
129;Koçarlý'dan Kuþadasý'na tam ne kadar?;Koçarlý'dan Kuþadasý'na tam yolcu ücreti 4.40 TL'dir.
130;Ýncirliova'dan Söke'ye öðrenci ne kadar?;Ýncirliova'dan Söke'ye öðrenci ücreti 2.50 TL'dir.
131;Ýncirliova'dan Kuþadasý'na öðrenci ne kadar?;Ýncirliova'dan Kuþadasý'na öðrenci ücreti 2.70 TL'dir.
132;Ýncirliova'dan Söke'ye tam ne kadar?;Ýncirliova'dan Söke'ye tam yolcu ücreti 2.90 TL'dir.
133;Ýncirliova'dan Kuþadasý'na tam ne kadar?;Ýncirliova'dan Kuþadasý'na tam yolcu ücreti 3.10 TL'dir.
134;Söke'den Kuþadasý'na öðrenci ne kadar?;Söke'den Kuþadasý'na öðrenci ücreti 3.50 TL'dir.
135;Söke'den Kuþadasý'na tam ne kadar?;Söke'den Kuþadasý'na tam yolcu ücreti 3.90 TL'dir.
136;Köþk'ten Germencik'e öðrenci ne kadar?;Köþk'ten Germencik'e öðrenci ücreti 2.60 TL'dir.
137;Köþk'ten Efelere öðrenci ne kadar?;Köþk'ten Efeler'e öðrenci ücreti 3.00 TL'dir.
138;Köþk'ten Bozdoðan'a öðrenci ne kadar?;Köþk'ten Bozdoðan'a öðrenci ücreti 3.30 TL'dir.
139;Köþk'ten Çine'ye öðrenci ne kadar?;Köþk'ten Çine'ye öðrenci ücreti 3.50 TL'dir.
140;Köþk'ten Germencik'e tam ne kadar?;Köþk'ten Germencik'e tam yolcu ücreti 3.00 TL'dir.
141;Köþk'ten Efeler'e tam ne kadar?;Köþk'ten Efeler'e tam yolcu ücreti 3.40 TL'dir.
142;Köþk'ten Bozdoðan'a tam ne kadar?;Köþk'ten Bozdoðan'a tam yolcu ücreti 3.70 TL'dir.
143;Köþk'ten Çine'ye tam ne kadar?;Köþk'ten Çine'ye tam yolcu ücreti 3.90 TL'dir.
144;Germencik'ten Efeler'e öðrenci ne kadar?;Germencik'ten Efeler'e öðrenci ücreti 2.70 TL'dir.
145;Germencik'ten Bozdoðan'a öðrenci ne kadar?;Germencik'ten Bozdoðan'a öðrenci ücreti 3.10 TL'dir.
146;Germencik'ten Çine'ye öðrenci ne kadar?;Germencik'ten Çine'ye öðrenci ücreti 3.30 TL'dir.
147;Germencik'ten Efeler'e tam ne kadar?;Germencik'ten Efeler'e tam yolcu ücreti 3.10 TL'dir.
148;Germencik'ten Bozdoðan'a tam ne kadar?;Germencik'ten Bozdoðan'a tam yolcu ücreti 3.50 TL'dir.
149;Germencikten Çineye tam ne kadar?;Germencikten Çineye tam yolcu ücreti 3.70 TL'dir.
150;Efeler'den Bozdoðan'a öðrenci ne kadar?;Efeler'den Bozdoðan'a öðrenci ücreti 2.80 TL'dir.
151;Efeler'den Çine'ye öðrenci ne kadar?;Efeler'den Çine'ye öðrenci ücreti 3.00 TL'dir.
152;Efeler'den Bozdoðan'a tam ne kadar?;Efeler'den Bozdoðan'a tam yolcu ücreti 3.20 TL'dir.
153;Efeler'den Çine'ye tam ne kadar?;Efeler'den Çine'ye tam yolcu ücreti 3.40 TL'dir.
154;Bozdoðan'dan Çine'ye öðrenci ne kadar?;Bozdoðan'dan Çine'ye öðrenci ücreti 2.50 TL'dir.
155;Bozdoðan'dan Çine'ye tam ne kadar?;Bozdoðan'dan Çine'ye tam yolcu ücreti 2.90 TL'dir.
156;Yeni Pazar'dan Nazilli'ye öðrenci ne kadar?;Yeni Pazar'dan Nazilli'ye öðrenci ücreti 2.80 TL'dir.
157;Yeni Pazar'dan Sultan Hisar'a öðrenci ne kadar?;Yeni Pazar'dan Sultan Hisar'a öðrenci ücreti 3.00 TL'dir.
158;Yeni Pazar'dan Kuyucak'a öðrenci ne kadar?;Yeni Pazar'dan Kuyucak'a öðrenci ücreti 3.40 TL'dir.
159;Yeni Pazar'dan Karacasu'ya öðrenci ne kadar?;Yeni Pazar'dan Karacasu'ya öðrenci ücreti 3.50 TL'dir.
160;Yeni Pazar'dan Nazilli'ye tam ne kadar?;Yeni Pazar'dan Nazilli'ye tam yolcu ücreti 3.20 TL'dir.
161;Yeni Pazar'dan Sultan Hisar'a tam ne kadar?;Yeni Pazar'dan Sultan Hisar'a tam yolcu ücreti 3.40 TL'dir.
162;Yeni Pazar'dan Kuyucak'a tam ne kadar?;Yeni Pazar'dan Kuyucak'a tam yolcu ücreti 3.80 TL'dir.
163;Yeni Pazar'dan Karacasu'ya tam ne kadar?;Yeni Pazar'dan Karacasu'ya tam yolcu ücreti 3.90 TL'dir.
164;Nazilli'den Sultan Hisar'a öðrenci ne kadar?;Nazilli'den Sultan Hisar'a öðrenci ücreti 2.80 TL'dir.
165;Nazilli'den Kuyucak'a öðrenci ne kadar?;Nazilli'den Kuyucak'a öðrenci ücreti 3.20 TL'dir.
166;Nazilli'den Karacasu'ya öðrenci ne kadar?;Nazilli'den Karacasu'ya öðrenci ücreti 3.30 TL'dir.
167;Nazilli'den Sultan Hisar'a tam ne kadar?;Nazilli'den Sultan Hisar'a tam yolcu ücreti 3.20 TL'dir.
168;Nazilli'den Kuyucak'a tam ne kadar?;Nazilli'den Kuyucak'a tam yolcu ücreti 3.60 TL'dir
169;Nazilli'den Karacasu'ya tam ne kadar?;Nazilli'den Karacasu'ya tam yolcu ücreti 3.70 TL'dir.
170;Sultan Hisar'dan Kuyucak'a öðrenci ne kadar?;Sultan Hisar'dan Kuyucak'a öðrenci ücreti 3.00 TL'dir.
171;Sultan Hisar'dan Karacasu'ya öðrenci ne kadar?;Sultan Hisar'dan Karacasu'ya öðrenci ücreti 3.10 TL'dir.
172;Sultan Hisar'dan Kuyucak'a tam ne kadar?;Sultan Hisar'dan Kuyucak'a tam yolcu ücreti 3.40 TL'dir.
173;Sultan Hisar'dan Karacasu'ya tam ne kadar?,;Sultan Hisar'dan Karacasu'ya tam yolcu ücreti 3.50 TL'dir.
174;Kuyucak'tan Karacasu'ya öðrenci ne kadar?;Kuyucak'tan Karacasu'ya öðrenci ücreti 2.90 TL'dir.
175;Kuyucak'tan Karacasu'ya tam ne kadar?;Kuyucak'tan Karacasu'ya tam yolcu ücreti 3.30 TL'dir.
176;Adü'den Forum Aydýn'a öðrenci ne kadar?;Adü'den Forum Aydýn'a öðrenci ücreti 2.90 TL'dir.
177;Forum Aydýn'dan Zafer Meydaný'na öðrenci ne kadar?;Forum Aydýn'dan Zafer Meydaný'na öðrenci ücreti 2.90 TL'dir.
178;Zafer Meydaný'ndan Tren Garý'na öðrenci ne kadar?;Zafer Meydaný'ndan Tren Garý'na öðrenci ücreti 2.90 TL'dir.
179;Tren Garý'ndan Otogar'a öðrenci ne kadar?;Tren Garý'ndan Otogar'a öðrenci ücreti 2.90 TL'dir.
180;Adü'den Forum Aydýn'a tam ne kadar?;Adü'den Forum Aydýn'a tam yolcu ücreti 2.90 TL'dir.
181;Forum Aydýn'dan Zafer Meydaný'na tam ne kadar?;Forum Aydýn'dan Zafer Meydaný'na tam yolcu ücreti 2.90 TL'dir.
182;Zafer Meydaný'ndan Tren Garý'na tam ne kadar?;Zafer Meydaný'ndan Tren Garý'na tam yolcu ücreti 2.90 TL'dir.
